lhs,rhs,vars,gas saved,opt source,opt target,tpdb
PUSH 1 DUP1 PUSH 2 DUP2 GT ISZERO,PUSH 1 DUP1 DUP2,,9,PUSH 1 DUP1 PUSH 2 DUP2 GT ISZERO PUSH 1950,PUSH 1 DUP1 DUP2 PUSH 1950,"PUSH(1, DUP1(PUSH(2, DUP2(GT(ISZERO(P)))))) -> PUSH(1, DUP1(DUP2(P)))"
DUP3 DUP3 ADD DUP3 GT,DUP2 NOT DUP4 GT,,3,PUSH 0 DUP3 DUP3 ADD DUP3 GT ISZERO PUSH 10317,PUSH 0 DUP2 NOT DUP4 GT ISZERO PUSH 10317,DUP3(DUP3(ADD(DUP3(GT(P))))) -> DUP2(NOT(DUP4(GT(P))))
PUSH 0 DUP3 PUSH w_3 AND GT ISZERO,DUP2 PUSH w_3 AND ISZERO,w_3,6,PUSH 0 DUP3 PUSH 255 AND GT ISZERO PUSH 4095,DUP2 PUSH 255 AND ISZERO PUSH 4095,"PUSH(0, DUP3(PUSH(w_3, AND(GT(ISZERO(P)))))) ->  DUP2(PUSH(w_3, AND(ISZERO(P))))"
PUSH w_1 DUP1 DUP3 MLOAD SWAP2 POP PUSH w_2 SWAP1 POP,DUP1 MLOAD PUSH w_2,w_1 w_2,16,PUSH 0 DUP1 DUP3 MLOAD SWAP2 POP PUSH 0 SWAP1 POP,DUP1 MLOAD PUSH 0,"PUSH(w_1, DUP1(DUP3(MLOAD(SWAP2(POP(PUSH(w_2, SWAP1(POP(P))))))))) ->  DUP1(MLOAD(PUSH(w_2, P)))"
PUSH 0 DUP1 DUP3 LT ISZERO ISZERO ISZERO,PUSH 0 PUSH 1,,15,PUSH 0 DUP1 DUP3 LT ISZERO ISZERO ISZERO PUSH 2091,PUSH 0 PUSH 1 PUSH 2091,"PUSH(0, DUP1(DUP3(LT(ISZERO(ISZERO(ISZERO(P))))))) -> PUSH(0, PUSH(1, P))"
PUSH 0 DUP1 PUSH w_5 DUP2 GT ISZERO,PUSH 0 PUSH 0 PUSH 1,w_5,9,PUSH 0 DUP1 PUSH 1 DUP2 GT ISZERO PUSH 2945,PUSH 0 PUSH 0 PUSH 1 PUSH 2945,"PUSH(0, DUP1(PUSH(w_5, DUP2(GT(ISZERO(P)))))) -> PUSH(0, PUSH(0, PUSH(1, P)))"
PUSH w_6 DUP1 PUSH w_5 DUP1 PUSH w_6 DUP1 SWAP5 POP,PUSH w_6 DUP1 PUSH w_5 PUSH w_5 PUSH w_6,w_6 w_5,8,PUSH 0 DUP1 PUSH 0 DUP1 PUSH 0 DUP1 SWAP5 POP,PUSH 0 DUP1 PUSH 0 PUSH 0 PUSH 0,"PUSH(w_6, DUP1(PUSH(w_5, DUP1(PUSH(w_6, DUP1(SWAP5(POP(P)))))))) ->  PUSH(w_6, DUP1(PUSH(w_5, PUSH(w_5, PUSH(w_6, P)))))"
PUSH 0 CALLVALUE GT ISZERO,CALLVALUE ISZERO,,6,PUSH 0 DUP1 PUSH 0 CALLVALUE GT ISZERO PUSH 4936,PUSH 0 DUP1 CALLVALUE ISZERO PUSH 4936,"PUSH(0, CALLVALUE(GT(ISZERO(P)))) -> CALLVALUE(ISZERO(P))"
PUSH w_0 DUP1 TIMESTAMP NUMBER SWAP2 POP SWAP2 POP SWAP1,NUMBER TIMESTAMP,w_0,19,PUSH 0 DUP1 TIMESTAMP NUMBER SWAP2 POP SWAP2 POP SWAP1 SWAP2,NUMBER TIMESTAMP SWAP2,"PUSH(w_0, DUP1(TIMESTAMP(NUMBER(SWAP2(POP(SWAP2(POP(SWAP1(P))))))))) ->  NUMBER(TIMESTAMP(P))"
PUSH 0 DUP1 ISZERO ISZERO,PUSH 0 PUSH 0,,6,PUSH 0 DUP1 ISZERO ISZERO PUSH 4167 PUSH 6802,PUSH 0 PUSH 0 PUSH 4167 PUSH 6802,"PUSH(0, DUP1(ISZERO(ISZERO(P)))) -> PUSH(0, PUSH(0, P))"
PUSH w_5 DUP1 MLOAD SWAP1,PUSH w_5 MLOAD PUSH w_5,w_5,3,PUSH 0 PUSH 64 DUP1 MLOAD SWAP1 DUP2 ADD PUSH 64,PUSH 0 PUSH 64 MLOAD PUSH 64 DUP2 ADD PUSH 64,"PUSH(w_5, DUP1(MLOAD(SWAP1(P)))) -> PUSH(w_5, MLOAD(PUSH(w_5, P)))"
PUSH w_4 PUSH w_5 PUSH w_3 POP PUSH w_4 DUP4 DUP2,PUSH w_4 PUSH w_5 DUP2 DUP4 DUP4,w_4 w_5 w_3,5,PUSH 0 PUSH 1 PUSH 0 POP PUSH 0 DUP4 DUP2,PUSH 0 PUSH 1 DUP2 DUP4 DUP4,"PUSH(w_4, PUSH(w_5, PUSH(w_3, POP(PUSH(w_4, DUP4(DUP2(P))))))) ->  PUSH(w_4, PUSH(w_5, DUP2(DUP4(DUP4(P)))))"
PUSH 0 PUSH w_3 NOT DUP4 ADD LT,PUSH 0,w_3,15,PUSH 0 PUSH 0 NOT DUP4 ADD LT PUSH 13117,PUSH 0 PUSH 13117,"PUSH(0, PUSH(w_3, NOT(DUP4(ADD(LT(P)))))) -> PUSH(0, P)"
PUSH w_4 CALLER DUP2 PUSH w_5 DUP3,PUSH w_4 CALLER PUSH w_4 PUSH w_5 CALLER,w_4 w_5,1,PUSH 0 CALLER DUP2 PUSH 3769 DUP3 PUSH 6336,PUSH 0 CALLER PUSH 0 PUSH 3769 CALLER PUSH 6336,"PUSH(w_4, CALLER(DUP2(PUSH(w_5, DUP3(P))))) ->  PUSH(w_4, CALLER(PUSH(w_4, PUSH(w_5, CALLER(P)))))"
POP PUSH w_5 PUSH w_5 DUP2 GT ISZERO PUSH w_4,PUSH 1 PUSH w_4 PUSH w_5 SWAP3 POP,w_5 w_4,6,POP PUSH 3 PUSH 3 DUP2 GT ISZERO PUSH 1984,PUSH 1 PUSH 1984 PUSH 3 SWAP3 POP,"POP(PUSH(w_5, PUSH(w_5, DUP2(GT(ISZERO(PUSH(w_4, P))))))) ->  PUSH(1, PUSH(w_4, PUSH(w_5, SWAP3(POP(P)))))"
PUSH 0 DUP4 LT,PUSH 0,,6,POP PUSH 0 DUP4 LT,POP PUSH 0,"PUSH(0, DUP4(LT(P))) -> PUSH(0, P)"
PUSH 0 DUP3 LT,PUSH 0,,6,POP PUSH 0 DUP3 LT,POP PUSH 0,"PUSH(0, DUP3(LT(P))) -> PUSH(0, P)"
CALLVALUE DUP1,CALLVALUE CALLVALUE,,1,CALLVALUE DUP1 ISZERO PUSH 254,CALLVALUE CALLVALUE ISZERO PUSH 254,CALLVALUE(DUP1(P)) -> CALLVALUE(CALLVALUE(P))
CALLVALUE PUSH w_2 SWAP1 DUP2,PUSH w_2 CALLVALUE PUSH w_2,w_2,3,CALLVALUE PUSH 0 SWAP1 DUP2,PUSH 0 CALLVALUE PUSH 0,"CALLVALUE(PUSH(w_2, SWAP1(DUP2(P)))) -> PUSH(w_2, CALLVALUE(PUSH(w_2, P)))"
CALLER PUSH w_2 SWAP1 DUP2,PUSH w_2 CALLER PUSH w_2,w_2,3,CALLER PUSH 0 SWAP1 DUP2,PUSH 0 CALLER PUSH 0,"CALLER(PUSH(w_2, SWAP1(DUP2(P)))) -> PUSH(w_2, CALLER(PUSH(w_2, P)))"
CALLER PUSH w_2 DUP2 DUP2,CALLER PUSH w_2 CALLER PUSH w_2,w_2,1,CALLER PUSH 0 DUP2 DUP2,CALLER PUSH 0 CALLER PUSH 0,"CALLER(PUSH(w_2, DUP2(DUP2(P)))) -> CALLER(PUSH(w_2, CALLER(PUSH(w_2, P))))"
ADDRESS PUSH w_2 SWAP1 DUP2,PUSH w_2 ADDRESS PUSH w_2,w_2,3,ADDRESS PUSH 0 SWAP1 DUP2,PUSH 0 ADDRESS PUSH 0,"ADDRESS(PUSH(w_2, SWAP1(DUP2(P)))) -> PUSH(w_2, ADDRESS(PUSH(w_2, P)))"
PUSH w_1 DUP1 CALLER SWAP2 POP PUSH w_2 SWAP1 POP,CALLER PUSH w_2,w_1 w_2,16,PUSH 0 DUP1 CALLER SWAP2 POP PUSH 0 SWAP1 POP,CALLER PUSH 0,"PUSH(w_1, DUP1(CALLER(SWAP2(POP(PUSH(w_2, SWAP1(POP(P)))))))) ->  CALLER(PUSH(w_2, P))"
PUSH w_2 SWAP1 SWAP2 AND PUSH w_3 SWAP1,SWAP1 PUSH w_2 PUSH w_3 SWAP2 AND,w_2 w_3,3,PUSH 65535 SWAP1 SWAP2 AND PUSH 0 SWAP1 DUP2,SWAP1 PUSH 65535 PUSH 0 SWAP2 AND DUP2,"PUSH(w_2, SWAP1(SWAP2(AND(PUSH(w_3, SWAP1(P)))))) ->  SWAP1(PUSH(w_2, PUSH(w_3, SWAP2(AND(P)))))"
PUSH 1 MUL,,,8,PUSH 7177 DUP3 PUSH 1 MUL PUSH 19208,PUSH 7177 DUP3 PUSH 19208,"PUSH(1, MUL(P)) -> P"
PUSH w_4 POP PUSH w_5 DUP5 DUP2,PUSH w_5 DUP5 PUSH w_5,w_4 w_5,5,PUSH 265 PUSH 0 POP PUSH 0 DUP5 DUP2,PUSH 265 PUSH 0 DUP5 PUSH 0,"PUSH(w_4, POP(PUSH(w_5, DUP5(DUP2(P))))) -> PUSH(w_5, DUP5(PUSH(w_5, P)))"
PUSH w_1 POP DUP2 SWAP1 SSTORE POP,SSTORE,w_1,13,PUSH 263 PUSH 0 POP DUP2 SWAP1 SSTORE POP,PUSH 263 SSTORE,"PUSH(w_1, POP(DUP2(SWAP1(SSTORE(POP(P)))))) -> SSTORE(P)"
SWAP2 POP POP POP,POP POP POP,,3,SWAP2 POP POP POP,POP POP POP,SWAP2(POP(POP(POP(P)))) -> POP(POP(POP(P)))
SWAP1 POP POP,POP POP,,3,SWAP1 POP POP SWAP1,POP POP SWAP1,SWAP1(POP(POP(P))) -> POP(POP(P))
DUP2 SWAP1 SSTORE POP PUSH w_3 SWAP1 POP,PUSH w_3 SWAP3 POP SSTORE,w_3,8,PUSH 8 DUP2 SWAP1 SSTORE POP PUSH 1 SWAP1 POP,PUSH 8 PUSH 1 SWAP3 POP SSTORE,"DUP2(SWAP1(SSTORE(POP(PUSH(w_3, SWAP1(POP(P))))))) ->  PUSH(w_3, SWAP3(POP(SSTORE(P))))"
PUSH 8 PUSH 9 DUP2 GT ISZERO,PUSH 8 PUSH 1,,9,PUSH 8 PUSH 9 DUP2 GT ISZERO PUSH 4857,PUSH 8 PUSH 1 PUSH 4857,"PUSH(8, PUSH(9, DUP2(GT(ISZERO(P))))) -> PUSH(8, PUSH(1, P))"
PUSH 6 PUSH 9 DUP2 GT ISZERO,PUSH 6 PUSH 1,,9,PUSH 6 PUSH 9 DUP2 GT ISZERO PUSH 7007,PUSH 6 PUSH 1 PUSH 7007,"PUSH(6, PUSH(9, DUP2(GT(ISZERO(P))))) -> PUSH(6, PUSH(1, P))"
PUSH 5 PUSH 9 DUP2 GT ISZERO,PUSH 5 PUSH 1,,9,PUSH 5 PUSH 9 DUP2 GT ISZERO PUSH 6919,PUSH 5 PUSH 1 PUSH 6919,"PUSH(5, PUSH(9, DUP2(GT(ISZERO(P))))) -> PUSH(5, PUSH(1, P))"
PUSH 5 PUSH 6 DUP2 GT ISZERO,PUSH 5 PUSH 1,,9,PUSH 5 PUSH 6 DUP2 GT ISZERO PUSH 4437,PUSH 5 PUSH 1 PUSH 4437,"PUSH(5, PUSH(6, DUP2(GT(ISZERO(P))))) -> PUSH(5, PUSH(1, P))"
PUSH 4 PUSH 9 DUP2 GT ISZERO,PUSH 4 PUSH 1,,9,PUSH 4 PUSH 9 DUP2 GT ISZERO PUSH 6831,PUSH 4 PUSH 1 PUSH 6831,"PUSH(4, PUSH(9, DUP2(GT(ISZERO(P))))) -> PUSH(4, PUSH(1, P))"
PUSH 4 PUSH 6 DUP2 GT ISZERO,PUSH 4 PUSH 1,,9,PUSH 4 PUSH 6 DUP2 GT ISZERO PUSH 3360,PUSH 4 PUSH 1 PUSH 3360,"PUSH(4, PUSH(6, DUP2(GT(ISZERO(P))))) -> PUSH(4, PUSH(1, P))"
PUSH 4 PUSH 5 DUP2 GT ISZERO,PUSH 4 PUSH 1,,9,PUSH 4 PUSH 5 DUP2 GT ISZERO PUSH 4082,PUSH 4 PUSH 1 PUSH 4082,"PUSH(4, PUSH(5, DUP2(GT(ISZERO(P))))) -> PUSH(4, PUSH(1, P))"
PUSH 3 PUSH 6 DUP2 GT ISZERO,PUSH 3 PUSH 1,,9,PUSH 3 PUSH 6 DUP2 GT ISZERO PUSH 3281,PUSH 3 PUSH 1 PUSH 3281,"PUSH(3, PUSH(6, DUP2(GT(ISZERO(P))))) -> PUSH(3, PUSH(1, P))"
PUSH 3 PUSH 5 DUP2 GT ISZERO,PUSH 3 PUSH 1,,9,PUSH 3 PUSH 5 DUP2 GT ISZERO PUSH 3859,PUSH 3 PUSH 1 PUSH 3859,"PUSH(3, PUSH(5, DUP2(GT(ISZERO(P))))) -> PUSH(3, PUSH(1, P))"
PUSH 3 PUSH 4 DUP2 GT ISZERO,PUSH 3 PUSH 1,,9,PUSH 3 PUSH 4 DUP2 GT ISZERO PUSH 5425,PUSH 3 PUSH 1 PUSH 5425,"PUSH(3, PUSH(4, DUP2(GT(ISZERO(P))))) -> PUSH(3, PUSH(1, P))"
PUSH w_3 PUSH w_3 DUP2 GT ISZERO,PUSH w_3 PUSH 1,w_3,9,PUSH 3 PUSH 3 DUP2 GT ISZERO PUSH 1933,PUSH 3 PUSH 1 PUSH 1933,"PUSH(w_3, PUSH(w_3, DUP2(GT(ISZERO(P))))) -> PUSH(w_3, PUSH(1, P))"
PUSH 2 PUSH 9 DUP2 GT ISZERO,PUSH 2 PUSH 1,,9,PUSH 2 PUSH 9 DUP2 GT ISZERO PUSH 364,PUSH 2 PUSH 1 PUSH 364,"PUSH(2, PUSH(9, DUP2(GT(ISZERO(P))))) -> PUSH(2, PUSH(1, P))"
PUSH 2 PUSH 6 DUP2 GT ISZERO,PUSH 2 PUSH 1,,9,PUSH 2 PUSH 6 DUP2 GT ISZERO PUSH 3202,PUSH 2 PUSH 1 PUSH 3202,"PUSH(2, PUSH(6, DUP2(GT(ISZERO(P))))) -> PUSH(2, PUSH(1, P))"
PUSH 2 PUSH 5 DUP2 GT ISZERO,PUSH 2 PUSH 1,,9,PUSH 2 PUSH 5 DUP2 GT ISZERO PUSH 699,PUSH 2 PUSH 1 PUSH 699,"PUSH(2, PUSH(5, DUP2(GT(ISZERO(P))))) -> PUSH(2, PUSH(1, P))"
PUSH 2 PUSH 3 DUP2 GT ISZERO,PUSH 2 PUSH 1,,9,PUSH 2 PUSH 3 DUP2 GT ISZERO PUSH 2065,PUSH 2 PUSH 1 PUSH 2065,"PUSH(2, PUSH(3, DUP2(GT(ISZERO(P))))) -> PUSH(2, PUSH(1, P))"
DUP1 PUSH w_1 SWAP1,PUSH w_1 DUP2,w_1,3,DUP1 PUSH 3 SWAP1,PUSH 3 DUP2,"DUP1(PUSH(w_1, SWAP1(P))) -> PUSH(w_1, DUP2(P))"
PUSH 1 PUSH 5 DUP2 GT ISZERO,PUSH 1 PUSH 1,,9,PUSH 1 PUSH 5 DUP2 GT ISZERO PUSH 534,PUSH 1 PUSH 1 PUSH 534,"PUSH(1, PUSH(5, DUP2(GT(ISZERO(P))))) -> PUSH(1, PUSH(1, P))"
PUSH 1 PUSH 3 DUP2 GT ISZERO,PUSH 1 PUSH 1,,9,PUSH 1 PUSH 3 DUP2 GT ISZERO PUSH 2450,PUSH 1 PUSH 1 PUSH 2450,"PUSH(1, PUSH(3, DUP2(GT(ISZERO(P))))) -> PUSH(1, PUSH(1, P))"
PUSH 1 PUSH 2 DUP2 GT ISZERO,PUSH 1 PUSH 1,,9,PUSH 1 PUSH 2 DUP2 GT ISZERO PUSH 3555,PUSH 1 PUSH 1 PUSH 3555,"PUSH(1, PUSH(2, DUP2(GT(ISZERO(P))))) -> PUSH(1, PUSH(1, P))"
PUSH w_3 SLOAD PUSH w_2 SWAP1,PUSH w_2 PUSH w_3 SLOAD,w_3 w_2,3,PUSH 1 SLOAD PUSH 15552000 SWAP1 TIMESTAMP SUB,PUSH 15552000 PUSH 1 SLOAD TIMESTAMP SUB,"PUSH(w_3, SLOAD(PUSH(w_2, SWAP1(P)))) -> PUSH(w_2, PUSH(w_3, SLOAD(P)))"
PUSH 1 CALLVALUE LT ISZERO ISZERO ISZERO PUSH w_2,PUSH w_2 CALLVALUE ISZERO ISZERO SWAP1,w_2,6,PUSH 1 CALLVALUE LT ISZERO ISZERO ISZERO PUSH 573,PUSH 573 CALLVALUE ISZERO ISZERO SWAP1,"PUSH(1, CALLVALUE(LT(ISZERO(ISZERO(ISZERO(PUSH(w_2, P))))))) ->  PUSH(w_2, CALLVALUE(ISZERO(ISZERO(SWAP1(P)))))"
PUSH 1 ISZERO ISZERO,PUSH 1,,6,PUSH 1 ISZERO ISZERO PUSH 5700 PUSH 6802,PUSH 1 PUSH 5700 PUSH 6802,"PUSH(1, ISZERO(ISZERO(P))) -> PUSH(1, P)"
PUSH 0 DUP4 LT ISZERO ISZERO ISZERO,PUSH 1,,15,PUSH 0 DUP4 LT ISZERO ISZERO ISZERO PUSH 2301,PUSH 1 PUSH 2301,"PUSH(0, DUP4(LT(ISZERO(ISZERO(ISZERO(P)))))) -> PUSH(1, P)"
PUSH 0 DUP3 DUP5 SUB LT ISZERO,PUSH 1,,15,PUSH 0 DUP3 DUP5 SUB LT ISZERO PUSH 6899,PUSH 1 PUSH 6899,"PUSH(0, DUP3(DUP5(SUB(LT(ISZERO(P)))))) -> PUSH(1, P)"
PUSH 0 DUP3 LT ISZERO DUP1 ISZERO,PUSH 1 PUSH 0,,12,PUSH 0 DUP3 LT ISZERO DUP1 ISZERO PUSH 2498,PUSH 1 PUSH 0 PUSH 2498,"PUSH(0, DUP3(LT(ISZERO(DUP1(ISZERO(P)))))) -> PUSH(1, PUSH(0, P))"
PUSH 0 DUP3 LT ISZERO ISZERO ISZERO,PUSH 1,,15,PUSH 0 DUP3 LT ISZERO ISZERO ISZERO PUSH 3643,PUSH 1 PUSH 3643,"PUSH(0, DUP3(LT(ISZERO(ISZERO(ISZERO(P)))))) -> PUSH(1, P)"
PUSH 0 DUP2 LT ISZERO DUP1 ISZERO,PUSH 1 PUSH 0,,12,PUSH 0 DUP2 LT ISZERO DUP1 ISZERO PUSH 1337,PUSH 1 PUSH 0 PUSH 1337,"PUSH(0, DUP2(LT(ISZERO(DUP1(ISZERO(P)))))) -> PUSH(1, PUSH(0, P))"
PUSH 0 DUP1 DUP3 MLOAD GT ISZERO PUSH w_3,PUSH 0 PUSH w_3 DUP3 MLOAD ISZERO SWAP1,w_3,3,PUSH 0 DUP1 DUP3 MLOAD GT ISZERO PUSH 12580,PUSH 0 PUSH 12580 DUP3 MLOAD ISZERO SWAP1,"PUSH(0, DUP1(DUP3(MLOAD(GT(ISZERO(PUSH(w_3, P))))))) ->  PUSH(0, PUSH(w_3, DUP3(MLOAD(ISZERO(SWAP1(P))))))"
PUSH 0 DUP1 DUP3 LT ISZERO ISZERO,PUSH 0 PUSH 0,,12,PUSH 0 DUP1 DUP3 LT ISZERO ISZERO PUSH 1577,PUSH 0 PUSH 0 PUSH 1577,"PUSH(0, DUP1(DUP3(LT(ISZERO(ISZERO(P)))))) -> PUSH(0, PUSH(0, P))"
DUP1 DUP1 SLOAD SWAP1 POP SWAP1 POP,SLOAD,,16,PUSH 0 DUP1 DUP1 SLOAD SWAP1 POP SWAP1 POP SWAP1,PUSH 0 SLOAD SWAP1,DUP1(DUP1(SLOAD(SWAP1(POP(SWAP1(POP(P))))))) -> SLOAD(P)
DUP1 PUSH w_6 DUP1 PUSH w_5 SWAP3 POP,PUSH w_5 PUSH w_6 PUSH w_6,w_6 w_5,8,PUSH 0 DUP1 PUSH 0 DUP1 PUSH 0 SWAP3 POP,PUSH 0 PUSH 0 PUSH 0 PUSH 0,"DUP1(PUSH(w_6, DUP1(PUSH(w_5, SWAP3(POP(P)))))) ->  PUSH(w_5, PUSH(w_6, PUSH(w_6, P)))"
PUSH 0 DUP1 CALLVALUE EQ ISZERO ISZERO,PUSH 0 CALLVALUE ISZERO,,9,PUSH 0 DUP1 CALLVALUE EQ ISZERO ISZERO PUSH 585,PUSH 0 CALLVALUE ISZERO PUSH 585,"PUSH(0, DUP1(CALLVALUE(EQ(ISZERO(ISZERO(P)))))) ->  PUSH(0, CALLVALUE(ISZERO(P)))"
DUP1 CALLER SWAP1 POP,CALLER,,8,PUSH 0 DUP1 CALLER SWAP1 POP DUP3 PUSH 3881,PUSH 0 CALLER DUP3 PUSH 3881,DUP1(CALLER(SWAP1(POP(P)))) -> CALLER(P)
PUSH 0 DUP1 ADD PUSH w_2 ADD SLOAD SWAP1 POP,POP PUSH w_2 SLOAD,w_2,15,PUSH 0 DUP1 ADD PUSH 2 ADD SLOAD SWAP1 POP,POP PUSH 2 SLOAD,"PUSH(0, DUP1(ADD(PUSH(w_2, ADD(SLOAD(SWAP1(POP(P)))))))) ->  POP(PUSH(w_2, SLOAD(P)))"
PUSH w_0 PUSH w_2 SWAP1 POP SWAP2 SWAP1 POP,POP PUSH w_2 SWAP1,w_0 w_2,11,PUSH 0 PUSH 777 SWAP1 POP SWAP2 SWAP1 POP,POP PUSH 777 SWAP1,"PUSH(w_0, PUSH(w_2, SWAP1(POP(SWAP2(SWAP1(POP(P))))))) ->  POP(PUSH(w_2, SWAP1(P)))"
PUSH w_0 PUSH 9 PUSH 6 ADD SLOAD SWAP1 POP,PUSH 15 SLOAD,w_0,14,PUSH 0 PUSH 9 PUSH 6 ADD SLOAD SWAP1 POP,PUSH 15 SLOAD,"PUSH(w_0, PUSH(9, PUSH(6, ADD(SLOAD(SWAP1(POP(P))))))) -> PUSH(15, SLOAD(P))"
PUSH w_0 PUSH 9 PUSH 5 ADD SLOAD SWAP1 POP,PUSH 14 SLOAD,w_0,14,PUSH 0 PUSH 9 PUSH 5 ADD SLOAD SWAP1 POP,PUSH 14 SLOAD,"PUSH(w_0, PUSH(9, PUSH(5, ADD(SLOAD(SWAP1(POP(P))))))) -> PUSH(14, SLOAD(P))"
PUSH w_0 PUSH w_2 DUP1 SLOAD SWAP1 POP SWAP1 POP,PUSH w_2 SLOAD,w_0 w_2,16,PUSH 0 PUSH 4 DUP1 SLOAD SWAP1 POP SWAP1 POP,PUSH 4 SLOAD,"PUSH(w_0, PUSH(w_2, DUP1(SLOAD(SWAP1(POP(SWAP1(POP(P)))))))) ->  PUSH(w_2, SLOAD(P))"
PUSH 0 PUSH w_1 DUP2 GT ISZERO,PUSH 0 PUSH 1,w_1,9,PUSH 0 PUSH 2 DUP2 GT ISZERO PUSH 4282,PUSH 0 PUSH 1 PUSH 4282,"PUSH(0, PUSH(w_1, DUP2(GT(ISZERO(P))))) -> PUSH(0, PUSH(1, P))"
PUSH 2 PUSH 3 DUP2 GT,PUSH 2 PUSH 0,,6,PUSH 0 PUSH 2 PUSH 3 DUP2 GT PUSH 0,PUSH 0 PUSH 2 PUSH 0 PUSH 0,"PUSH(2, PUSH(3, DUP2(GT(P)))) -> PUSH(2, PUSH(0, P))"
PUSH 1 PUSH 3 DUP2 GT,PUSH 1 PUSH 0,,6,PUSH 0 PUSH 1 PUSH 3 DUP2 GT PUSH 0,PUSH 0 PUSH 1 PUSH 0 PUSH 0,"PUSH(1, PUSH(3, DUP2(GT(P)))) -> PUSH(1, PUSH(0, P))"
PUSH w_4 PUSH 1 MUL SWAP2 POP PUSH w_3,PUSH w_3 PUSH w_4 SWAP3 POP,w_4 w_3,8,PUSH 0 PUSH 1 MUL SWAP2 POP PUSH 13837,PUSH 13837 PUSH 0 SWAP3 POP,"PUSH(w_4, PUSH(1, MUL(SWAP2(POP(PUSH(w_3, P)))))) ->  PUSH(w_3, PUSH(w_4, SWAP3(POP(P))))"
PUSH 0 PUSH w_1 MUL SWAP2 POP PUSH w_3,PUSH w_3 PUSH 0 SWAP3 POP,w_1 w_3,8,PUSH 0 PUSH 1 MUL SWAP2 POP PUSH 13837,PUSH 13837 PUSH 0 SWAP3 POP,"PUSH(0, PUSH(w_1, MUL(SWAP2(POP(PUSH(w_3, P)))))) ->  PUSH(w_3, PUSH(0, SWAP3(POP(P))))"
PUSH 0 PUSH 0 DUP5 LT,PUSH 0 DUP1,,6,PUSH 0 PUSH 0 DUP5 LT DUP1 PUSH 9079,PUSH 0 DUP1 DUP1 PUSH 9079,"PUSH(0, PUSH(0, DUP5(LT(P)))) -> PUSH(0, DUP1(P))"
PUSH 0 ISZERO ISZERO,PUSH 0,,6,PUSH 0 ISZERO ISZERO PUSH 6334 PUSH 6802,PUSH 0 PUSH 6334 PUSH 6802,"PUSH(0, ISZERO(ISZERO(P))) -> PUSH(0, P)"
PUSH w_4 POP PUSH w_5 DUP4 DUP2,PUSH w_5 DUP4 PUSH w_5,w_4 w_5,5,CALLER PUSH 1 PUSH 0 POP PUSH 0 DUP4 DUP2,CALLER PUSH 1 PUSH 0 DUP4 PUSH 0,"PUSH(w_4, POP(PUSH(w_5, DUP4(DUP2(P))))) -> PUSH(w_5, DUP4(PUSH(w_5, P)))"
SWAP1 PUSH w_1 SWAP1 DUP3 SWAP1,DUP1 PUSH w_1 SWAP2 SWAP3,w_1,3,SWAP1 PUSH 2 SWAP1 DUP3 SWAP1 DUP1 CODESIZE DUP4,DUP1 PUSH 2 SWAP2 SWAP3 DUP1 CODESIZE DUP4,"SWAP1(PUSH(w_1, SWAP1(DUP3(SWAP1(P))))) -> DUP1(PUSH(w_1, SWAP2(SWAP3(P))))"
PUSH w_1 DUP5 SWAP1,DUP4 PUSH w_1,w_1,3,PUSH 32 DUP5 SWAP1,DUP4 PUSH 32,"PUSH(w_1, DUP5(SWAP1(P))) -> DUP4(PUSH(w_1, P))"
PUSH w_1 DUP4 SWAP1,DUP3 PUSH w_1,w_1,3,PUSH 32 DUP4 SWAP1,DUP3 PUSH 32,"PUSH(w_1, DUP4(SWAP1(P))) -> DUP3(PUSH(w_1, P))"
DUP2 DUP4 ADD SWAP1 POP SWAP3 SWAP2 POP POP,POP ADD SWAP1,,16,DUP2 DUP4 ADD SWAP1 POP SWAP3 SWAP2 POP POP,POP ADD SWAP1,DUP2(DUP4(ADD(SWAP1(POP(SWAP3(SWAP2(POP(POP(P))))))))) -> POP(ADD(SWAP1(P)))
PUSH 0 ADD DUP2 SWAP1 SSTORE POP,SSTORE,,14,DUP2 DUP2 PUSH 0 ADD DUP2 SWAP1 SSTORE POP,DUP2 DUP2 SSTORE,"PUSH(0, ADD(DUP2(SWAP1(SSTORE(POP(P)))))) -> SSTORE(P)"
DUP2 PUSH w_1 DUP2 SWAP1 SSTORE POP POP POP,POP PUSH w_1 SSTORE,w_1,13,DUP2 PUSH 2 DUP2 SWAP1 SSTORE POP POP POP,POP PUSH 2 SSTORE,"DUP2(PUSH(w_1, DUP2(SWAP1(SSTORE(POP(POP(POP(P)))))))) ->  POP(PUSH(w_1, SSTORE(P)))"
DUP1 SLOAD PUSH w_2 SWAP1,PUSH w_2 DUP2 SLOAD,w_2,3,DUP1 SLOAD PUSH 5070 SWAP1 PUSH 4086,PUSH 5070 DUP2 SLOAD PUSH 4086,"DUP1(SLOAD(PUSH(w_2, SWAP1(P)))) -> PUSH(w_2, DUP2(SLOAD(P)))"
PUSH 0 LT ISZERO,ISZERO,,6,DUP1 SLOAD PUSH 0 LT ISZERO PUSH 15231,DUP1 SLOAD ISZERO PUSH 15231,"PUSH(0, LT(ISZERO(P))) -> ISZERO(P)"
PUSH 4294967295 PUSH 7776 AND,PUSH 7776,,6,PUSH 4294967295 PUSH 7776 AND,PUSH 7776,"PUSH(4294967295, PUSH(7776, AND(P))) -> PUSH(7776, P)"
