source bytecode,target bytecode,target opcode,target instruction count,source gas,target gas,gas saved,known optimal,translation validation
614aac6103e8602b6000600d81101515614a86,614aac6103e8602b60006001614a86,PUSH 19116 PUSH 1000 PUSH 43 PUSH 0 PUSH 1 PUSH 19078,6,30,18,12,false,true
81019080805190602001909291905050505050,505050,POP POP POP,3,48,6,42,true,true
6000806000601f91506154d16001600a84611d77,6000601f60006154d16001600a611d77601f90,PUSH 0 PUSH 31 PUSH 0 PUSH 21713 PUSH 1 PUSH 10 PUSH 7543 PUSH 31 SWAP1,9,32,27,5,false,true
6000829050,81,DUP2,1,11,3,8,true,true
6000905090,50600090,POP PUSH 0 SWAP1,3,11,8,3,true,true
6004819055,80600455,DUP1 PUSH 4 SSTORE,3,20009,20006,3,false,true
6005829055,81600555,DUP2 PUSH 5 SSTORE,3,20009,20006,3,false,true
6009829055,81600955,DUP2 PUSH 9 SSTORE,3,20009,20006,3,false,true
61050f600480803590602001909190505061126b,61050f60043561126b,PUSH 1295 PUSH 4 CALLDATALOAD PUSH 4715,4,40,12,28,false,true
600b819055,80600b55,DUP1 PUSH 11 SSTORE,3,20009,20006,3,false,true
81019080803590602001909291905050506118d8,50356118d8,POP CALLDATALOAD PUSH 6360,3,48,8,40,false,true
600d819055,80600d55,DUP1 PUSH 13 SSTORE,3,20009,20006,3,false,true
6011819055,80601155,DUP1 PUSH 17 SSTORE,3,20009,20006,3,false,true
6020929092,916020,SWAP2 PUSH 32,2,12,6,6,true,true
600060606000806000808694506000935060029050,60008160006000806002,PUSH 0 DUP2 PUSH 0 PUSH 0 DUP1 PUSH 2,6,42,18,24,false,true
600080600080610103600087600019166000191681,600080808061010360008781,PUSH 0 DUP1 DUP1 DUP1 PUSH 259 PUSH 0 DUP8 DUP2,8,42,24,18,false,true
600080600080849350600092506000915060009050,806000600081,DUP1 PUSH 0 PUSH 0 DUP2,4,44,12,32,true,true
600080600080869350600092506000915060009050,826000600080,DUP3 PUSH 0 PUSH 0 DUP1,4,44,12,32,true,true
61ffff9050,5061ffff,POP PUSH 65535,2,8,5,3,true,true
8060015550,600155,PUSH 1 SSTORE,2,20008,20003,5,false,true
8061010090,61010081,PUSH 256 DUP2,2,9,6,3,true,true
60011515600660008363ffffffff1663ffffffff1681,60016006600063ffffffff84166000,PUSH 1 PUSH 6 PUSH 0 PUSH 4294967295 DUP5 AND PUSH 0,7,33,21,12,false,true
8190505050,5050,POP POP,2,12,4,8,true,true
8382906000,81846000,DUP2 DUP5 PUSH 0,3,12,9,3,true,true
9050919050,92915050,SWAP3 SWAP2 POP POP,4,13,10,3,true,true
9091508190,819250,DUP2 SWAP3 POP,3,14,8,6,true,true
9150819050,91185080,SWAP2 XOR POP DUP1,4,13,11,2,false,true
9192508291,829350,DUP3 SWAP4 POP,3,14,8,6,true,true
